date,pm25,pm10,o3,no2,so2, co
2019/10/31,44, , , , , 
2019/11/1,21, , , , , 
2019/11/2,28, , , , , 
2019/11/3,45, , , , , 
2019/11/4,30, , , , , 
2019/11/5,34, , , , , 
2019/11/6,37, , , , , 
2019/11/7,41, , , , , 
2019/11/8,35, , , , , 
2019/11/9,26, , , , , 
2019/11/10,39, , , , , 
2019/11/11,42, , , , , 
2019/11/12,55, , , , , 
2019/11/13,21, , , , , 
2019/11/14,37, , , , , 
2019/11/15,47, , , , , 
2019/11/16,69, , , , , 
2019/11/17,36, , , , , 
2019/11/18,16, , , , , 
2019/11/19,40, , , , , 
2019/11/20,94, , , , , 
2019/11/21,82, , , , , 
2019/11/22,55, , , , , 
2019/11/23,23, , , , , 
2019/11/24,30, , , , , 
2019/11/25,42, , , , , 
2019/11/26,41, , , , , 
2019/11/27,46, , , , , 
2019/11/28,28, , , , , 
2019/11/29,22, , , , , 
2019/11/30,25, , , , , 
2019/12/1,46, , , , , 
2019/12/2,25, , , , , 
2019/12/3,28, , , , , 
2019/12/4,24, , , , , 
2019/12/5,38, , , , , 
2019/12/6,33, , , , , 
2019/12/7,46, , , , , 
2019/12/8,26, , , , , 
2019/12/9,41, , , , , 
2019/12/10,31, , , , , 
2019/12/11,34, , , , , 
2019/12/12,38, , , , , 
2019/12/13,48, , , , , 
2019/12/14,36, , , , , 
2019/12/15,29, , , , , 
2019/12/16,54, , , , , 
2019/12/17,21, , , , , 
2019/12/18,26, , , , , 
2019/12/19,46, , , , , 
2019/12/20,34, , , , , 
2019/12/21,67, , , , , 
2019/12/22,81, , , , , 
2019/12/23,75, , , , , 
2019/12/24,79, , , , , 
2019/12/25,86, , , , , 
2019/12/26,81, , , , , 
2019/12/27,54, , , , , 
2019/12/28,47, , , , , 
2019/12/29,72, , , , , 
2019/12/30,48, , , , , 
2019/7/2,38, , , , , 
2019/7/3,59, , , , , 
2019/7/4,37, , , , , 
2019/7/5,67, , , , , 
2019/7/6,63, , , , , 
2019/7/7,45, , , , , 
2019/7/8,42, , , , , 
2019/7/9,47, , , , , 
2019/7/10,42, , , , , 
2019/7/11,52, , , , , 
2019/7/12,32, , , , , 
2019/7/13,37, , , , , 
2019/7/14,53, , , , , 
2019/7/15,43, , , , , 
2019/7/16,47, , , , , 
2019/7/17,37, , , , , 
2019/7/18,39, , , , , 
2019/7/19,37, , , , , 
2019/7/20,59, , , , , 
2019/7/21,60, , , , , 
2019/7/22,43, , , , , 
2019/7/23,36, , , , , 
2019/7/24,33, , , , , 
2019/7/25,46, , , , , 
2019/7/26,45, , , , , 
2019/7/27,60, , , , , 
2019/7/28,58, , , , , 
2019/7/29,62, , , , , 
2019/7/30,68, , , , , 
2019/7/31,51, , , , , 
2019/8/1,43, , , , , 
2019/8/2,47, , , , , 
2019/8/3,40, , , , , 
2019/8/4,43, , , , , 
2019/8/5,49, , , , , 
2019/8/6,58, , , , , 
2019/8/7,64, , , , , 
2019/8/8,47, , , , , 
2019/8/9,42, , , , , 
2019/8/10,34, , , , , 
2019/8/11,44, , , , , 
2019/8/12,45, , , , , 
2019/8/13,48, , , , , 
2019/8/14,46, , , , , 
2019/8/15,44, , , , , 
2019/8/16,51, , , , , 
2019/8/17,52, , , , , 
2019/8/18,54, , , , , 
2019/8/19,55, , , , , 
2019/8/20,26, , , , , 
2019/8/21,42, , , , , 
2019/8/22,38, , , , , 
2019/8/23,35, , , , , 
2019/8/24,24, , , , , 
2019/8/25,24, , , , , 
2019/8/26,28, , , , , 
2019/8/27,22, , , , , 
2019/8/28,29, , , , , 
2019/8/29,28, , , , , 
2019/8/30,30, , , , , 
2019/8/31,44, , , , , 
2019/9/1,30, , , , , 
2019/9/2,35, , , , , 
2019/9/3,30, , , , , 
2019/9/4,59, , , , , 
2019/9/5,43, , , , , 
2019/9/6,26, , , , , 
2019/9/7,38, , , , , 
2019/9/8,51, , , , , 
2019/9/9,60, , , , , 
2019/9/10,32, , , , , 
2019/9/11,47, , , , , 
2019/9/12,61, , , , , 
2019/9/13,41, , , , , 
2019/9/14,23, , , , , 
2019/9/15,26, , , , , 
2019/9/16,54, , , , , 
2019/9/17,51, , , , , 
2019/9/18,28, , , , , 
2019/9/19,25, , , , , 
2019/9/20,30, , , , , 
2019/9/21,50, , , , , 
2019/9/22,68, , , , , 
2019/9/23,73, , , , , 
2019/9/24,56, , , , , 
2019/9/25,30, , , , , 
2019/9/26,52, , , , , 
2019/9/27,40, , , , , 
2019/9/28,34, , , , , 
2019/9/29,55, , , , , 
2019/9/30,28, , , , , 
2019/10/1,45, , , , , 
2019/4/2,22, , , , , 
2019/4/3,34, , , , , 
2019/4/4,44, , , , , 
2019/4/5,51, , , , , 
2019/4/6,32, , , , , 
2019/4/7,44, , , , , 
2019/4/8,47, , , , , 
2019/4/9,36, , , , , 
2019/4/10,39, , , , , 
2019/4/11,23, , , , , 
2019/4/12,28, , , , , 
2019/4/13,38, , , , , 
2019/4/14,25, , , , , 
2019/4/15,42, , , , , 
2019/4/16,21, , , , , 
2019/4/17,33, , , , , 
2019/4/18,49, , , , , 
2019/4/19,45, , , , , 
2019/4/20,59, , , , , 
2019/4/21,58, , , , , 
2019/4/22,46, , , , , 
2019/4/23,42, , , , , 
2019/4/24,58, , , , , 
2019/4/25,34, , , , , 
2019/4/26,99, , , , , 
